Date,Start time,Study location,Duration (hr.mm),Distance from home (miles),Tasks completed,Temperature outside (F),Number of Friends,Number of people,,n: cafes,n: library
1/25/26,11:33 AM,Café,4.18,4.2,3,64,2,15,,15,15
1/27/26,10:00 AM,Café,1.41,4.2,4,61,0,14,,,
2/1/26,10:05 AM,Library,4.21,2.8,7,67,3,18,,,
2/2/26,5:03 PM,Library,1.42,2.8,5,63,0,15,,,
2/3/26,10:30 AM,Library,1.41,0.7,3,64,0,5,,,
2/3/26,2:00 PM,Library,0.53,2.8,2,69,3,27,,,
2/3/26,4:50 PM,Library,1.18,2.8,3,66,0,2,,,
2/4/26,2:01 PM,Library,1.43,2.8,1,74,1,34,,,
2/5/26,10:11 AM,Café,2.02,0.7,4,69,0,5,,,
2/5/26,2:20 PM,Library,2,2.8,1,69,4,28,,,
2/7/26,1:17 PM,Café,1.55,1.4,5,70,0,6,,,
2/8/26,7:00 PM,Library,4.01,2.8,12,55,0,5,,,
2/9/26,1:03 PM,Library,3.27,2.8,5,70,3,21,,,
2/9/26,9:00 PM,Library,2.26,2.8,5,60,2,4,,,
2/10/26,11:12 AM,Café,4.3,0.3,2,60,1,11,,,
2/10/26,2:00 PM,Café,4.8,1.4,3,61,1,19,,,
2/11/26,12:40 PM,Café,1.55,1.2,4,60,0,44,,,
2/11/26,9:30 PM,Café,2.31,1.5,6,52,0,35,,,
2/17/26,9:34 AM,Café,2.09,0.3,3,54,0,6,,,
3/16/26,3:17 PM,Library,4.3,2.8,3,55,1,35,,,
3/19/26,10:10,Café,1.4,4.2,3,54,0,19,,,
3/24/26,5:40,Café,5.1,2,10,65,1,10,,,
4/1/26,1:00,Café,2.58,0.4,6,69,2,16,,,
4/1/26,6:54,Library,4.57,2.8,9,64,1,11,,,
4/2/26,2:09,Café,1.3,1,3,72,0,20,,,
4/2/26,4:45,Café,1.15,0.3,2,67,2,15,,,
4/3/26,10:00 AM,Café,2.05,0.4,3,61,0,9,,,
4/3/26,8:50 PM,Library,4,2.8,5,58,1,28,,,
4/4/26,1:05,Library ,1,2.8,5,65,0,25,,,
4/4/26,3:10,Library ,1.4,2.8,3,65,0,20,,,